problem,language,report,first_file,second_file,first_submission_id,second_submission_id,avg_similarity,avg_percent,max_similarity,max_percent,maximum_length,longest_match,is_exact_avg_100,is_max_100
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314154420.cpp,1314154422.cpp,1314154420,1314154422,1.0,100.0,1.0,100.0,34.0,33.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314213343.cpp,1314213352.cpp,1314213343,1314213352,1.0,100.0,1.0,100.0,36.0,35.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314213343.cpp,1314213373.cpp,1314213343,1314213373,1.0,100.0,1.0,100.0,36.0,35.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314213343.cpp,1314213388.cpp,1314213343,1314213388,1.0,100.0,1.0,100.0,36.0,35.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314213343.cpp,1314213401.cpp,1314213343,1314213401,1.0,100.0,1.0,100.0,36.0,35.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314213352.cpp,1314213373.cpp,1314213352,1314213373,1.0,100.0,1.0,100.0,36.0,35.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314213352.cpp,1314213388.cpp,1314213352,1314213388,1.0,100.0,1.0,100.0,36.0,35.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314213352.cpp,1314213401.cpp,1314213352,1314213401,1.0,100.0,1.0,100.0,36.0,35.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314213373.cpp,1314213388.cpp,1314213373,1314213388,1.0,100.0,1.0,100.0,36.0,35.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314213373.cpp,1314213401.cpp,1314213373,1314213401,1.0,100.0,1.0,100.0,36.0,35.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314213388.cpp,1314213401.cpp,1314213388,1314213401,1.0,100.0,1.0,100.0,36.0,35.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314234701.cpp,1314234716.cpp,1314234701,1314234716,1.0,100.0,1.0,100.0,21.0,20.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314234762.cpp,1323456262.cpp,1314234762,1323456262,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314234762.cpp,1323457013.cpp,1314234762,1323457013,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314234762.cpp,1332757696.cpp,1314234762,1332757696,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314234762.cpp,1332762969.cpp,1314234762,1332762969,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314234762.cpp,1332763768.cpp,1314234762,1332763768,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314234762.cpp,1344635355.cpp,1314234762,1344635355,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314234762.cpp,1391865112.cpp,1314234762,1391865112,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314235851.cpp,1314235906.cpp,1314235851,1314235906,1.0,100.0,1.0,100.0,65.0,64.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314236035.cpp,1314236075.cpp,1314236035,1314236075,1.0,100.0,1.0,100.0,38.0,37.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314236043.cpp,1314236112.cpp,1314236043,1314236112,1.0,100.0,1.0,100.0,70.0,69.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314236136.cpp,1314236146.cpp,1314236136,1314236146,1.0,100.0,1.0,100.0,20.0,19.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314236136.cpp,1314236156.cpp,1314236136,1314236156,1.0,100.0,1.0,100.0,20.0,19.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314236146.cpp,1314236156.cpp,1314236146,1314236156,1.0,100.0,1.0,100.0,20.0,19.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314236211.cpp,1314236228.cpp,1314236211,1314236228,1.0,100.0,1.0,100.0,15.0,14.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314236649.cpp,1314236710.cpp,1314236649,1314236710,1.0,100.0,1.0,100.0,56.0,55.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314236720.cpp,1314236739.cpp,1314236720,1314236739,1.0,100.0,1.0,100.0,35.0,34.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314236738.cpp,1314236792.cpp,1314236738,1314236792,1.0,100.0,1.0,100.0,24.0,23.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314236738.cpp,1314236983.cpp,1314236738,1314236983,1.0,100.0,1.0,100.0,24.0,23.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314236792.cpp,1314236983.cpp,1314236792,1314236983,1.0,100.0,1.0,100.0,24.0,23.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314237078.cpp,1314237111.cpp,1314237078,1314237111,1.0,100.0,1.0,100.0,55.0,54.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314237078.cpp,1314237121.cpp,1314237078,1314237121,1.0,100.0,1.0,100.0,55.0,54.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314237111.cpp,1314237121.cpp,1314237111,1314237121,1.0,100.0,1.0,100.0,55.0,54.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314237139.cpp,1314237269.cpp,1314237139,1314237269,1.0,100.0,1.0,100.0,21.0,20.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314237197.cpp,1314237369.cpp,1314237197,1314237369,1.0,100.0,1.0,100.0,19.0,18.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314237431.cpp,1314237505.cpp,1314237431,1314237505,1.0,100.0,1.0,100.0,22.0,21.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314237593.cpp,1378145261.cpp,1314237593,1378145261,1.0,100.0,1.0,100.0,13.0,12.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314237608.cpp,1361810555.cpp,1314237608,1361810555,1.0,100.0,1.0,100.0,36.0,35.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314237617.cpp,1314237661.cpp,1314237617,1314237661,1.0,100.0,1.0,100.0,41.0,40.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314237617.cpp,1314237698.cpp,1314237617,1314237698,1.0,100.0,1.0,100.0,41.0,40.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1314237661.cpp,1314237698.cpp,1314237661,1314237698,1.0,100.0,1.0,100.0,41.0,40.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323075305.cpp,1323075392.cpp,1323075305,1323075392,1.0,100.0,1.0,100.0,52.0,51.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323410372.cpp,1323410467.cpp,1323410372,1323410467,1.0,100.0,1.0,100.0,39.0,38.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323410554.cpp,1323410728.cpp,1323410554,1323410728,1.0,100.0,1.0,100.0,38.0,37.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323431099.cpp,1323431291.cpp,1323431099,1323431291,1.0,100.0,1.0,100.0,48.0,47.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323431350.cpp,1323431415.cpp,1323431350,1323431415,1.0,100.0,1.0,100.0,46.0,45.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323431482.cpp,1323431895.cpp,1323431482,1323431895,1.0,100.0,1.0,100.0,49.0,48.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323431865.cpp,1323431878.cpp,1323431865,1323431878,1.0,100.0,1.0,100.0,39.0,38.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323456262.cpp,1323457013.cpp,1323456262,1323457013,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323456262.cpp,1332757696.cpp,1323456262,1332757696,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323456262.cpp,1332762969.cpp,1323456262,1332762969,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323456262.cpp,1332763768.cpp,1323456262,1332763768,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323456262.cpp,1344635355.cpp,1323456262,1344635355,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323456262.cpp,1391865112.cpp,1323456262,1391865112,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323457013.cpp,1332757696.cpp,1323457013,1332757696,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323457013.cpp,1332762969.cpp,1323457013,1332762969,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323457013.cpp,1332763768.cpp,1323457013,1332763768,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323457013.cpp,1344635355.cpp,1323457013,1344635355,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1323457013.cpp,1391865112.cpp,1323457013,1391865112,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1332595217.cpp,1332595239.cpp,1332595217,1332595239,1.0,100.0,1.0,100.0,64.0,63.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1332671770.cpp,1332671953.cpp,1332671770,1332671953,1.0,100.0,1.0,100.0,53.0,52.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1332719663.cpp,1332719678.cpp,1332719663,1332719678,1.0,100.0,1.0,100.0,30.0,29.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1332757696.cpp,1332762969.cpp,1332757696,1332762969,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1332757696.cpp,1332763768.cpp,1332757696,1332763768,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1332757696.cpp,1344635355.cpp,1332757696,1344635355,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1332757696.cpp,1391865112.cpp,1332757696,1391865112,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1332762969.cpp,1332763768.cpp,1332762969,1332763768,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1332762969.cpp,1344635355.cpp,1332762969,1344635355,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1332762969.cpp,1391865112.cpp,1332762969,1391865112,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1332763109.cpp,1332763114.cpp,1332763109,1332763114,1.0,100.0,1.0,100.0,48.0,47.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1332763768.cpp,1344635355.cpp,1332763768,1344635355,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1332763768.cpp,1391865112.cpp,1332763768,1391865112,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344584433.cpp,1344585022.cpp,1344584433,1344585022,1.0,100.0,1.0,100.0,44.0,43.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344623858.cpp,1344623923.cpp,1344623858,1344623923,1.0,100.0,1.0,100.0,33.0,32.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344635355.cpp,1391865112.cpp,1344635355,1391865112,1.0,100.0,1.0,100.0,14.0,13.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344729739.cpp,1344729743.cpp,1344729739,1344729743,1.0,100.0,1.0,100.0,37.0,36.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344729739.cpp,1344729748.cpp,1344729739,1344729748,1.0,100.0,1.0,100.0,37.0,36.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344729739.cpp,1344729751.cpp,1344729739,1344729751,1.0,100.0,1.0,100.0,37.0,36.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344729739.cpp,1344729753.cpp,1344729739,1344729753,1.0,100.0,1.0,100.0,37.0,36.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344729739.cpp,1344729754.cpp,1344729739,1344729754,1.0,100.0,1.0,100.0,37.0,36.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344729739.cpp,1344729756.cpp,1344729739,1344729756,1.0,100.0,1.0,100.0,37.0,36.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344729743.cpp,1344729748.cpp,1344729743,1344729748,1.0,100.0,1.0,100.0,37.0,36.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344729743.cpp,1344729751.cpp,1344729743,1344729751,1.0,100.0,1.0,100.0,37.0,36.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344729743.cpp,1344729753.cpp,1344729743,1344729753,1.0,100.0,1.0,100.0,37.0,36.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344729743.cpp,1344729754.cpp,1344729743,1344729754,1.0,100.0,1.0,100.0,37.0,36.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344729743.cpp,1344729756.cpp,1344729743,1344729756,1.0,100.0,1.0,100.0,37.0,36.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344729748.cpp,1344729751.cpp,1344729748,1344729751,1.0,100.0,1.0,100.0,37.0,36.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344729748.cpp,1344729753.cpp,1344729748,1344729753,1.0,100.0,1.0,100.0,37.0,36.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344729748.cpp,1344729754.cpp,1344729748,1344729754,1.0,100.0,1.0,100.0,37.0,36.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344729748.cpp,1344729756.cpp,1344729748,1344729756,1.0,100.0,1.0,100.0,37.0,36.0,True,True
cutiile-magice,cpp,cutiile-magice_cpp.jplag,1344729749.cpp,1344729750.cpp,1344729749,1344729750,1.0,100.0,1.0,100.0,36.0,35.0,True,True
